2018:11:30 10:11:40.134 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2018:11:30 10:11:40.183 INFO  --- [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat started on port(s): 8080 (http) 
2018:11:30 10:11:40.190 INFO  --- [main] c.e.demo.SpringVueMallApplication : Started SpringVueMallApplication in 3.986 seconds (JVM running for 4.978) 
2018:11:30 10:11:48.185 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested. 
2018:11:30 10:11:48.189 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@16d04d3d: startup date [Fri Nov 30 10:11:36 KST 2018]; root of context hierarchy 
2018:11:30 10:11:48.192 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
2018:11:30 10:11:50.234 INFO  --- [main] c.e.demo.SpringVueMallApplication : Starting SpringVueMallApplication on cheongonhong-ui-MacBook-Pro.local with PID 865 (/Users/Sarkh/Documents/Workspace/Spring/project_Mall/target/classes started by Sarkh in /Users/Sarkh/Documents/Workspace/Spring/project_Mall) 
2018:11:30 10:11:50.264 INFO  --- [main] c.e.demo.SpringVueMallApplication : No active profile set, falling back to default profiles: default 
2018:11:30 10:11:50.499 INFO  --- [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@16d04d3d: startup date [Fri Nov 30 10:11:50 KST 2018]; root of context hierarchy 
2018:11:30 10:11:51.512 INFO  --- [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2018:11:30 10:11:51.531 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
